ID,State,Year,Revenue,longitude,latitude
arizona,Arizona,2024,427397087,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2024,107275202,-92.44012653057223,34.90418476401205
colorado,Colorado,2024,475176731,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2024,187349516,-72.7259793835999,41.625657209666336
delaware,Delaware,2024,14585100,-75.51491652896254,39.00558251865384
florida,Florida,2024,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2024,1866642282,-89.2000650218026,40.07010001302035
indiana,Indiana,2024,484278308,-86.27759301376952,39.916748096917196
iowa,Iowa,2024,218482781,-93.49368698911313,42.08624292336576
kansas,Kansas,2024,145263244,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2024,272086697,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2024,461224426,-92.00829838432962,31.084595370635824
maine,Maine,2024,55388488,-69.23425350998068,45.40708070618306
maryland,Maryland,2024,629812059,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2024,670694019,-71.82097940602183,42.25818280715043
michigan,Michigan,2024,481495654,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2024,43344188,-89.6704742748726,32.757672304048896
missouri,Missouri,2024,NA,-92.48330566387827,38.37653509207976
montana,Montana,2024,7186894,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2024,4639250,-99.81265319257986,41.52550200485405
nevada,Nevada,2024,482121000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2024,78996303,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2024,1094630610,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2024,NA,-106.1121305120958,34.41656191159888
new york,New York,2024,2059297238,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2024,583645811,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2024,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2024,904187897,-82.7971819537273,40.304126629547866
oregon,Oregon,2024,80932000,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2024,778420570,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2024,38051914,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2024,920918,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2024,485802815,-86.33578242967911,35.84450970469765
vermont,Vermont,2024,27347988,-72.66686003160213,44.077587227788996
virginia,Virginia,2024,615044067,-78.84037603406514,37.518280076316486
washington,Washington,2024,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2024,65866101,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2024,22810652,-107.55736087934403,43.00390475679936
arizona,Arizona,2023,348185390,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2023,103188842,-92.44012653057223,34.90418476401205
colorado,Colorado,2023,391946267,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2023,131142055,-72.7259793835999,41.625657209666336
delaware,Delaware,2023,10003849,-75.51491652896254,39.00558251865384
florida,Florida,2023,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2023,1535383261,-89.2000650218026,40.07010001302035
indiana,Indiana,2023,404363766,-86.27759301376952,39.916748096917196
iowa,Iowa,2023,198810523,-93.49368698911313,42.08624292336576
kansas,Kansas,2023,182415461,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2023,109824864,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2023,289778947,-92.00829838432962,31.084595370635824
maine,Maine,2023,9020360,-69.23425350998068,45.40708070618306
maryland,Maryland,2023,514081188,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2023,483666398,-71.82097940602183,42.25818280715043
michigan,Michigan,2023,434438031,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2023,51224141,-89.6704742748726,32.757672304048896
missouri,Missouri,2023,NA,-92.48330566387827,38.37653509207976
montana,Montana,2023,8446611,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2023,1779458,-99.81265319257986,41.52550200485405
nevada,Nevada,2023,481393000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2023,80288654,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2023,1006681602,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2023,NA,-106.1121305120958,34.41656191159888
new york,New York,2023,1689883800,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2023,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2023,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2023,935585152,-82.7971819537273,40.304126629547866
oregon,Oregon,2023,21429000,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2023,686915514,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2023,40277816,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2023,1028440,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2023,417787565,-86.33578242967911,35.84450970469765
vermont,Vermont,2023,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2023,481978027,-78.84037603406514,37.518280076316486
washington,Washington,2023,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2023,34268729,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2023,17293948,-107.55736087934403,43.00390475679936
arizona,Arizona,2022,289146940,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2022,88448329,-92.44012653057223,34.90418476401205
colorado,Colorado,2022,351950255,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2022,95217811,-72.7259793835999,41.625657209666336
delaware,Delaware,2022,8884122,-75.51491652896254,39.00558251865384
florida,Florida,2022,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2022,1215977220,-89.2000650218026,40.07010001302035
indiana,Indiana,2022,386888311,-86.27759301376952,39.916748096917196
iowa,Iowa,2022,165551990,-93.49368698911313,42.08624292336576
kansas,Kansas,2022,76505901,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2022,NA,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2022,228038413,-92.00829838432962,31.084595370635824
maine,Maine,2022,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2022,149480586,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2022,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2022,418647137,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2022,60816325,-89.6704742748726,32.757672304048896
missouri,Missouri,2022,NA,-92.48330566387827,38.37653509207976
montana,Montana,2022,7173449,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2022,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2022,449698000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2022,66714384,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2022,762954971,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2022,NA,-106.1121305120958,34.41656191159888
new york,New York,2022,1359067098,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2022,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2022,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2022,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2022,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2022,597364960,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2022,49298062,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2022,898981,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2022,340264805,-86.33578242967911,35.84450970469765
vermont,Vermont,2022,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2022,345104567,-78.84037603406514,37.518280076316486
washington,Washington,2022,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2022,51704386,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2022,14787230,-107.55736087934403,43.00390475679936
arizona,Arizona,2021,59552840,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2021,78763591,-92.44012653057223,34.90418476401205
colorado,Colorado,2021,250048945,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2021,NA,-72.7259793835999,41.625657209666336
delaware,Delaware,2021,NA,-75.51491652896254,39.00558251865384
florida,Florida,2021,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2021,810891340,-89.2000650218026,40.07010001302035
indiana,Indiana,2021,308304353,-86.27759301376952,39.916748096917196
iowa,Iowa,2021,125512412,-93.49368698911313,42.08624292336576
kansas,Kansas,2021,NA,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2021,NA,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2021,6710940,-92.00829838432962,31.084595370635824
maine,Maine,2021,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2021,3170001,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2021,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2021,319522216,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2021,65868087,-89.6704742748726,32.757672304048896
missouri,Missouri,2021,NA,-92.48330566387827,38.37653509207976
montana,Montana,2021,6406223,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2021,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2021,445145000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2021,43827560,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2021,814981641,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2021,NA,-106.1121305120958,34.41656191159888
new york,New York,2021,NA,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2021,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2021,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2021,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2021,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2021,505523748,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2021,38751495,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2021,254582,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2021,196500000,-86.33578242967911,35.84450970469765
vermont,Vermont,2021,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2021,135600220,-78.84037603406514,37.518280076316486
washington,Washington,2021,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2021,45463827,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2021,4012816,-107.55736087934403,43.00390475679936
arizona,Arizona,2020,NA,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2020,51013027,-92.44012653057223,34.90418476401205
colorado,Colorado,2020,75841207,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2020,NA,-72.7259793835999,41.625657209666336
delaware,Delaware,2020,NA,-75.51491652896254,39.00558251865384
florida,Florida,2020,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2020,193841046,-89.2000650218026,40.07010001302035
indiana,Indiana,2020,136395416,-86.27759301376952,39.916748096917196
iowa,Iowa,2020,41623877,-93.49368698911313,42.08624292336576
kansas,Kansas,2020,NA,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2020,NA,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2020,NA,-92.00829838432962,31.084595370635824
maine,Maine,2020,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2020,NA,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2020,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2020,18276857,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2020,43865991,-89.6704742748726,32.757672304048896
missouri,Missouri,2020,NA,-92.48330566387827,38.37653509207976
montana,Montana,2020,2369041,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2020,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2020,200943000,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2020,23638791,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2020,398231302,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2020,NA,-106.1121305120958,34.41656191159888
new york,New York,2020,NA,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2020,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2020,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2020,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2020,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2020,269903946,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2020,24067477,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2020,NA,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2020,27219590,-86.33578242967911,35.84450970469765
vermont,Vermont,2020,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2020,NA,-78.84037603406514,37.518280076316486
washington,Washington,2020,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2020,21065181,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2020,NA,-107.55736087934403,43.00390475679936
arizona,Arizona,2019,NA,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2019,24305962,-92.44012653057223,34.90418476401205
colorado,Colorado,2019,NA,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2019,NA,-72.7259793835999,41.625657209666336
delaware,Delaware,2019,NA,-75.51491652896254,39.00558251865384
florida,Florida,2019,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2019,NA,-89.2000650218026,40.07010001302035
indiana,Indiana,2019,41576946,-86.27759301376952,39.916748096917196
iowa,Iowa,2019,19283690,-93.49368698911313,42.08624292336576
kansas,Kansas,2019,NA,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2019,NA,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2019,NA,-92.00829838432962,31.084595370635824
maine,Maine,2019,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2019,NA,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2019,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2019,NA,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2019,44451372,-89.6704742748726,32.757672304048896
missouri,Missouri,2019,NA,-92.48330566387827,38.37653509207976
montana,Montana,2019,NA,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2019,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2019,NA,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2019,44759,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2019,299398035,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2019,NA,-106.1121305120958,34.41656191159888
new york,New York,2019,NA,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2019,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2019,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2019,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2019,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2019,111726711,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2019,17806694,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2019,NA,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2019,NA,-86.33578242967911,35.84450970469765
vermont,Vermont,2019,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2019,NA,-78.84037603406514,37.518280076316486
washington,Washington,2019,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2019,NA,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2019,NA,-107.55736087934403,43.00390475679936
arizona,Arizona,2018,NA,-111.66786419058273,34.30060124626366
arkansas,Arkansas,2018,NA,-92.44012653057223,34.90418476401205
colorado,Colorado,2018,NA,-105.55251005218877,38.997968906811096
connecticut,Connecticut,2018,NA,-72.7259793835999,41.625657209666336
delaware,Delaware,2018,NA,-75.51491652896254,39.00558251865384
florida,Florida,2018,NA,-82.49180510491169,28.657430437263603
illinois,Illinois,2018,NA,-89.2000650218026,40.07010001302035
indiana,Indiana,2018,NA,-86.27759301376952,39.916748096917196
iowa,Iowa,2018,NA,-93.49368698911313,42.08624292336576
kansas,Kansas,2018,NA,-98.38827135500436,38.48882178997041
kentucky,Kentucky,2018,NA,-85.28079119360713,37.53283314687547
louisiana,Louisiana,2018,NA,-92.00829838432962,31.084595370635824
maine,Maine,2018,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2018,NA,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2018,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2018,NA,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2018,15175668,-89.6704742748726,32.757672304048896
missouri,Missouri,2018,NA,-92.48330566387827,38.37653509207976
montana,Montana,2018,NA,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2018,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2018,NA,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2018,NA,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2018,94022393,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2018,NA,-106.1121305120958,34.41656191159888
new york,New York,2018,NA,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2018,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2018,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2018,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2018,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2018,2516589,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2018,1030910,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2018,NA,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2018,NA,-86.33578242967911,35.84450970469765
vermont,Vermont,2018,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2018,NA,-78.84037603406514,37.518280076316486
washington,Washington,2018,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2018,NA,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2018,NA,-107.55736087934403,43.00390475679936
alabama,NA,NA,NA,-86.83042392038293,32.803164176253794
california,NA,NA,NA,-119.60153706813276,37.26901035501705
district of columbia,NA,NA,NA,-77.03409920378279,38.91078737046958
georgia,NA,NA,NA,-83.45852913644349,32.6516530242598
idaho,NA,NA,NA,-114.65668603606002,44.39021838533833
minnesota,NA,NA,NA,-94.29402268316207,46.32879631833649
oklahoma,NA,NA,NA,-97.52313296900522,35.59115091530716
south carolina,NA,NA,NA,-80.90505935080323,33.92244289455517
texas,NA,NA,NA,-99.37250068167576,31.505351034241777
utah,NA,NA,NA,-111.6787719370019,39.32365254899237
wisconsin,NA,NA,NA,-90.0117079633965,44.63285282118125
